gp,driver,team,grid_pos,quali_pos,gap_to_pole_ms,final_position,dnf
Singapore Grand Prix,LEC,Ferrari,9,9,222.0,5,0
Singapore Grand Prix,HAM,Mercedes,3,3,316.0,6,0
Singapore Grand Prix,SAI,Ferrari,10,10,583.0,7,0
Singapore Grand Prix,ALO,Aston Martin,7,7,689.0,8,0
Singapore Grand Prix,HUL,Haas F1 Team,6,6,590.0,9,0
Singapore Grand Prix,PER,Red Bull Racing,13,13,1054.0,10,0
Singapore Grand Prix,COL,Williams,12,12,956.0,11,0
Singapore Grand Prix,TSU,RB,8,8,829.0,12,0
Singapore Grand Prix,OCO,Alpine,15,15,1244.0,13,0
Singapore Grand Prix,STR,Aston Martin,17,17,1569.0,14,0
Singapore Grand Prix,ZHO,Kick Sauber,20,20,2529.0,15,0
Singapore Grand Prix,BOT,Kick Sauber,19,19,2047.0,16,0
Singapore Grand Prix,GAS,Alpine,18,18,1787.0,17,0
Singapore Grand Prix,RIC,RB,16,16,1560.0,18,0
Singapore Grand Prix,MAG,Haas F1 Team,14,14,1128.0,19,0
Singapore Grand Prix,ALB,Williams,11,11,949.0,99,1
Spanish Grand Prix,VER,Red Bull Racing,2,2,20.0,1,0
Spanish Grand Prix,NOR,McLaren,1,1,0.0,2,0
Spanish Grand Prix,HAM,Mercedes,3,3,318.0,3,0
Spanish Grand Prix,RUS,Mercedes,4,4,320.0,4,0
Spanish Grand Prix,LEC,Ferrari,5,5,348.0,5,0
Spanish Grand Prix,SAI,Ferrari,6,6,353.0,6,0
Spanish Grand Prix,PIA,McLaren,10,10,628.0,7,0
Spanish Grand Prix,PER,Red Bull Racing,8,8,678.0,8,0
Spanish Grand Prix,GAS,Alpine,7,7,474.0,9,0
Spanish Grand Prix,OCO,Alpine,9,9,742.0,10,0
Spanish Grand Prix,HUL,Haas F1 Team,13,13,927.0,11,0
Spanish Grand Prix,ALO,Aston Martin,11,11,745.0,12,0
Spanish Grand Prix,ZHO,Kick Sauber,15,15,1355.0,13,0
Spanish Grand Prix,STR,Aston Martin,14,14,989.0,14,0
Spanish Grand Prix,RIC,RB,18,18,1692.0,15,0
Spanish Grand Prix,BOT,Kick Sauber,12,12,844.0,16,0
Spanish Grand Prix,MAG,Haas F1 Team,16,16,1554.0,17,0
Spanish Grand Prix,ALB,Williams,19,19,1770.0,18,0
Spanish Grand Prix,TSU,RB,17,17,1602.0,19,0
Spanish Grand Prix,SAR,Williams,20,20,2126.0,20,0
São Paulo Grand Prix,VER,Red Bull Racing,12,12,4366.0,1,0
São Paulo Grand Prix,OCO,Alpine,4,4,1070.0,2,0
São Paulo Grand Prix,GAS,Alpine,15,15,6209.0,3,0
São Paulo Grand Prix,RUS,Mercedes,2,2,173.0,4,0
São Paulo Grand Prix,LEC,Ferrari,6,6,1120.0,5,0
São Paulo Grand Prix,NOR,McLaren,1,1,0.0,6,0
São Paulo Grand Prix,PIA,McLaren,8,8,1281.0,7,0
São Paulo Grand Prix,TSU,RB,3,3,706.0,8,0
São Paulo Grand Prix,LAW,RB,5,5,1079.0,9,0
São Paulo Grand Prix,HAM,Mercedes,16,16,7745.0,10,0
São Paulo Grand Prix,PER,Red Bull Racing,13,13,4753.0,11,0
São Paulo Grand Prix,BEA,Haas F1 Team,17,17,7824.0,12,0
São Paulo Grand Prix,BOT,Kick Sauber,11,11,3067.0,13,0
São Paulo Grand Prix,ALO,Aston Martin,9,9,5593.0,14,0
São Paulo Grand Prix,ZHO,Kick Sauber,20,20,8858.0,15,0
São Paulo Grand Prix,COL,Williams,18,18,7865.0,99,1
São Paulo Grand Prix,HUL,Haas F1 Team,19,19,8218.0,99,1
São Paulo Grand Prix,SAI,Ferrari,14,14,6001.0,99,1
São Paulo Grand Prix,STR,Aston Martin,10,10,2929.0,99,1
United States Grand Prix,LEC,Ferrari,4,4,410.0,1,0
United States Grand Prix,SAI,Ferrari,3,3,322.0,2,0
United States Grand Prix,NOR,McLaren,1,1,0.0,3,0
United States Grand Prix,VER,Red Bull Racing,2,2,31.0,4,0
United States Grand Prix,PIA,McLaren,5,5,620.0,5,0
United States Grand Prix,RUS,Mercedes,6,6,644.0,6,0
United States Grand Prix,PER,Red Bull Racing,10,10,690.0,7,0
United States Grand Prix,HUL,Haas F1 Team,12,12,1214.0,8,0
United States Grand Prix,LAW,RB,15,15,1009.0,9,0
United States Grand Prix,COL,Williams,17,17,1732.0,10,0
United States Grand Prix,MAG,Haas F1 Team,9,9,1151.0,11,0
United States Grand Prix,GAS,Alpine,7,7,688.0,12,0
United States Grand Prix,ALO,Aston Martin,8,8,979.0,13,0
United States Grand Prix,TSU,RB,11,11,1176.0,14,0
United States Grand Prix,STR,Aston Martin,14,14,1429.0,15,0
United States Grand Prix,ALB,Williams,16,16,1721.0,16,0
United States Grand Prix,BOT,Kick Sauber,18,18,1822.0,17,0
United States Grand Prix,OCO,Alpine,13,13,1267.0,18,0
United States Grand Prix,ZHO,Kick Sauber,20,20,1898.0,19,0
United States Grand Prix,HAM,Mercedes,19,19,1824.0,99,1
